id,name,desc,keywords,ogImage
"timestamp","时间戳转换","时间戳转换：在浏览器中分析 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","时间戳转换|timestamp",""
"timezone","时区换算","时区换算：在浏览器中生成 时间/计划 的实用工具，快速响应、无需上传、适合开发与日常使用。","时区换算|timezone|时间/计划",""
"token","Token 生成器","随机字节生成并编码为 Hex / Base64 / URL-safe Base64","token|生成器|加密/安全",""
"tokenize","分词与关键词","分词与关键词：在浏览器中比较 文本/字符串 的实用工具，快速响应、无需上传、适合开发与日常使用。","分词与关键词|tokenize|文本/字符串",""
"toml-json","TOML ⇄ JSON","TOML ⇄ JSON：在浏览器中生成 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","toml|⇄|json",""
"toml-to-yaml","TOML → YAML","TOML → YAML：在浏览器中分析 TOML、YAML、Converter 的实用工具，快速响应、无需上传、适合开发与日常使用。","toml|→|yaml|to|converter",""
"transpose-csv","CSV 行列转置","CSV 行列转置：在浏览器中处理表格数据（CSV/TSV），支持转换、拆分、合并与导出，适合数据清洗与快速查看。","csv|行列转置|transpose",""
"truncate-clock-time","时间截断(整点/整分)","时间截断(整点/整分)：在浏览器中格式化 Time 的实用工具，快速响应、无需上传、适合开发与日常使用。","时间截断(整点|整分)|truncate|clock|time",""
"tsv-to-json","TSV → JSON","TSV → JSON：在浏览器中转换 JSON、CSV 的实用工具，快速响应、无需上传、适合开发与日常使用。","tsv|→|json|to|csv",""
"tts","文本转语音 (TTS)","浏览器 speechSynthesis，选择语音/语速/音调，播放暂停","文本转语音|(tts)|tts|audio|productivity",""
"ulid","ULID 生成器","ULID 生成器：在浏览器中比较 加密/安全 的实用工具，快速响应、无需上传、适合开发与日常使用。","ulid|生成器|加密/安全",""
"unicode-visual","Unicode 可视化","Unicode 可视化：在浏览器中比较 Text 的实用工具，快速响应、无需上传、适合开发与日常使用。","unicode|可视化|visual|text",""
"units","单位换算","单位换算：在浏览器中校验 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","单位换算|units",""
"url-dedupe","URL 去重与域名筛选","URL 去重与域名筛选：在浏览器中生成 Web 的实用工具，快速响应、无需上传、适合开发与日常使用。","url|去重与域名筛选|dedupe|web",""
"url-encode","URL 编解码","百分号编码与解码，支持 encodeURI/encodeURIComponent","url|编解码|encode|web",""
"url-params","URL 参数批处理","URL 参数批处理：在浏览器中格式化 Web 的实用工具，快速响应、无需上传、适合开发与日常使用。","url|参数批处理|params|web",""
"url-parser","URL 解析","URL 解析：在浏览器中格式化 网络/编码 的实用工具，快速响应、无需上传、适合开发与日常使用。","url|解析|parser|网络/编码",""
"user-agent","User-Agent 解析","User-Agent 解析：在浏览器中比较 Web 的实用工具，快速响应、无需上传、适合开发与日常使用。","user|agent|解析|web",""
"utm-clean","URL 清洗（去跟踪参数）","批量移除 UTM、gclid、fbclid 等常见跟踪参数，保留核心参数与哈希片段","url|清洗（去跟踪参数）|utm|clean|network",""
"uuid","UUID 生成器","UUID 生成器：在浏览器中格式化 Dev 的实用工具，快速响应、无需上传、适合开发与日常使用。","uuid|生成器|dev",""
"uuid-plus","UUID Plus","UUID Plus：在浏览器中转换 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","uuid|plus",""
"validate-json","JSON 语法校验","JSON 语法校验：在浏览器中校验 JSON 的实用工具，快速响应、无需上传、适合开发与日常使用。","json|语法校验|validate",""
"vcard-qr","vCard QR 生成","表单生成 vCard 并生成二维码，支持下载 PNG 和复制文本","vcard|qr|生成|contact",""
"vips","libvips 转换","libvips 转换：在浏览器中格式化 Image 的实用工具，快速响应、无需上传、适合开发与日常使用。","libvips|转换|vips|image",""
"vtracer","vtracer 矢量化","vtracer 矢量化：在浏览器中转换 Vector 的实用工具，快速响应、无需上传、适合开发与日常使用。","vtracer|矢量化|vector",""
"wifi-qr","WiFi QR 码生成","WiFi QR 码生成：在浏览器中生成 图像/文件 的实用工具，快速响应、无需上传、适合开发与日常使用。","wifi|qr|码生成|图像/文件",""
"wysiwyg","HTML WYSIWYG 编辑器","HTML WYSIWYG 编辑器 是一个在线工具，用于Web。在浏览器中即时运行，无需上传，适合开发与日常使用。","html|wysiwyg|编辑器|web",""
"xelatex","XeLaTeX 编译","XeLaTeX 编译：在浏览器中比较 Document 的实用工具，快速响应、无需上传、适合开发与日常使用。","xelatex|编译|document",""
"xml-format","XML 格式化/压缩","XML 格式化/压缩：在浏览器中比较 Converter 的实用工具，快速响应、无需上传、适合开发与日常使用。","xml|格式化|压缩|format|converter",""
"xml-json","XML ⇄ JSON","XML ⇄ JSON：在浏览器中分析 格式与数据处理 的实用工具，快速响应、无需上传、适合开发与日常使用。","xml|⇄|json",""
"xml-validator","XML 校验器","XML 校验器：在浏览器中比较 XML 的实用工具，快速响应、无需上传、适合开发与日常使用。","xml|校验器|validator",""
"yaml-format","YAML 格式化/压缩","YAML 格式化/压缩：在浏览器中格式化 Converter、Format 的实用工具，快速响应、无需上传、适合开发与日常使用。","yaml|格式化|压缩|format|converter",""
"yaml-json","YAML ⇄ JSON","YAML ⇄ JSON：在浏览器中格式化 Converter 的实用工具，快速响应、无需上传、适合开发与日常使用。","yaml|⇄|json|converter",""
"yaml-toml","YAML ⇄ TOML","YAML ⇄ TOML：在浏览器中分析 Converter 的实用工具，快速响应、无需上传、适合开发与日常使用。","yaml|⇄|toml|converter",""
"yaml-viewer","YAML 查看器","YAML 查看器：在浏览器中校验 YAML 的实用工具，快速响应、无需上传、适合开发与日常使用。","yaml|查看器|viewer",""
"zero-width-clean","零宽字符清理","检测并移除零宽/不可见字符（ZWSP/ZWNJ/ZWJ/BOM/双向控制符等），支持统计与一键复制","零宽字符清理|zero|width|clean|text",""
